연번,시도,시군구,기관명,주소,신청유형,전화번호,운영가능일자
1,서울,강남구,연세대학교강남세브란스병원,서울특별시 강남구 언주로211,외래진료 및 입원,02-2019-2114,2020.02.28.
2,서울,강남구,강남베드로병원,"서울특별시 강남구 남부순환로2633, 2649",외래진료,02-1544-7522,2020.02.26.
3,서울,강남구,나누리병원,서울특별시 강남구 언주로 731,외래진료,1688-9797,2020.03.05.
4,서울,강남구,하나이비인후과병원,서울특별시 강남구 역삼로245,외래진료,02-6925-1111,2020.02.25.
5,서울,강동구,중앙보훈병원,서울특별시 강동구 진황도로 61길 53,외래진료 및 입원,02-2225-1111,2020.02.28.
6,서울,강동구,강동성심병원,서울특별시 강동구 성안로 150,외래진료,1588-4100,2020.03.09.
7,서울,강동구,강동경희대학교병원,서울특별시 강동구 동남로 892,외래진료 및 입원,02-440-8114,2020.02.27.
8,서울,강서구,이화여자대학교서울병원,서울특별시 강서구 공항대로260,외래진료 및 입원,1522-7000,2020.03.02.
9,서울,강서구,나누리병원,서울특별시 강서구 가로공원로 187,외래진료,1688-9797,2020.03.10.
10,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로1636,외래진료 및 입원,02-1877-8875,2020.02.26.
11,서울,관악구,심정병원,서울특별시 관악구 남부순환로1485,외래진료,02-1588-3330,2020.02.26.
12,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1,외래진료 및 입원,02-1588-1533,2020.03.09.
13,서울,광진구,혜민병원,서울특별시 광진구 자양로 85,외래진료,02-2049-9000,2020.03.04.
14,서울,구로구,고려대학교구로병원,서울특별시 구로구 구로동로 148,외래진료 및 입원,02-2626-1114,2020.03.02.
15,서울,구로구,우리아이들병원,서울특별시 구로구 새말로15,외래진료,02-858-0100,2020.02.25.
16,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,외래진료 및 입원,02-804-0002,2020.03.05.
17,서울,노원구,인제대학교 상계백병원,서울특별시 노원구 동일로1342,외래진료,02-950-1114,2020.02.27.
18,서울,노원구,노원을지대학교병원,서울특별시 노원구 한글비석로 68,외래진료,02-970-8000,2020.02.27.
19,서울,노원구,한국원자력의학원원자력병원,서울특별시 노원구 노원로 75,외래진료,02-970-2114,2020.03.04.
20,서울,도봉구,한일병원,서울특별시 도봉구 우이천로 308,외래진료 및 입원,02-901-3114,2020.03.04.
21,서울,동대문구,삼육서울병원,서울특별시 동대문구 망우로82,외래진료 및 입원,02-1577-3675,2020.02.25.
22,서울,동대문구,경희대학교병원,서울특별시 동대문구 경희대로23,외래진료 및 입원,02-958-8114,2020.02.25.
23,서울,동대문구,서울성심병원,서울특별시 동대문구 왕산로259,외래진료,02-966-1616,2020.02.25.
24,서울,동작구,중앙대학교병원,서울특별시 동작구 흑석로102,외래진료 및 입원,02-6299-1114,2020.02.28.
25,서울,동작구,서울특별시보라매병원,서울특별시 동작구 보라매로 5길 20,외래진료,02-870-2114,2020.03.06.
26,서울,서대문구,연세대학교신촌세브란스병원,서울특별시 서대문구 연세로 50-1,외래진료 및 입원,02-1599-1004,2020.03.02.
27,서울,서대문구,동신병원,서울특별시 서대문구 연희로 272,외래진료,02-396-9161,2020.02.27.
28,서울,서초구,가톨릭대학교 서울성모병원,서울특별시 서초구 반포대로 222,외래진료 및 입원,02-1588-1511,2020.03.04.
29,서울,성동구,한양대학교병원,서울특별시 성동구 왕십리로222-1,외래진료 및 입원,02-2290-8114,2020.02.26.
30,서울,성북구,고려대학교안암병원,서울특별시 성북구 인촌로 73,외래진료 및 입원,02-920-5114,2020.02.28.
31,서울,성북구,성북우리아이들병원,서울특별시 성북구 동소문로46길10,외래진료,02-912-0100,2020.02.25.
32,서울,송파구,경찰병원,서울특별시 송파구 송이로123,외래진료,02-3400-1114,2020.03.13.
33,서울,양천구,이화여자대학교목동병원,서울특별시 양천구 안양천로 1071,외래진료 및 입원,02-2650-5114,2020.03.02.
34,서울,양천구,홍익병원,서울특별시 양천구 목동로 225,외래진료,02-2693-5555,2020.03.09.
35,서울,양천구,메디힐병원,서울특별시 양천구 남부순환로 331,외래진료,02-2604-7551,2020.03.04.
36,서울,영등포구,가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10,외래진료 및 입원,1661-7575,2020.03.09.
37,서울,영등포구,한림대학교 강남성심병원,서울특별시 영등포구 신길로1,외래진료 및 입원,02-829-5114,2020.02.25.
38,서울,영등포구,성애병원,서울특별시 영등포구 여의대방로53길 22,외래진료,1811-8114,2020.03.04.
39,서울,영등포구,명지성모병원,서울특별시 영등포구 도림로 156,외래진료,1899-1475,2020.03.06.
40,서울,영등포구,영등포병원,서울특별시 영등포구 당산로3길10,외래진료,02-2632-0013~8,2020.02.25.
41,서울,영등포구,새길병원,서울특별시 영등포구 영중로 59,외래진료,02-1522-0075,2020.03.11.
42,서울,용산구,순천향대학교부속서울병원,서울특별시 용산구 대사관로 59,외래진료 및 입원,02-709-9114,2020.02.28.
43,서울,은평구,청구성심병원,서울특별시 은평구 통일로 873,외래진료,02-353-5511~9,2020.02.27.
44,서울,은평구,본서부병원,서울특별시 은평구 은평로 133,외래진료,02-3156-5000,2020.03.10.
45,서울,종로구,서울대학교병원,서울특별시 종로구 대학로101,외래진료 및 입원,02-1588-5700,2020.02.27.
46,서울,종로구,강북삼성병원,서울특별시 종로구 새문안로29,외래진료 및 입원,02-2001-2001,2020.03.16.
47,서울,종로구,서울적십자병원,서울특별시 종로구 새문안로 9,외래진료,02-2002-8000,2020.03.02.
48,서울,종로구,세란병원,서울특별시 종로구 통일로 256,외래진료,02-737-0181,2020.03.03.
49,서울,중구,인제대학교 서울백병원,서울특별시 중구 마른내로9,외래진료,02-2270-0114,2020.02.26.
50,서울,중구,국립중앙의료원,서울특별시 중구 을지로 245,외래진료 및 입원,02-2260-7114,2020.02.29.
51,서울,중랑구,동부제일병원,서울특별시 중랑구 망우로511,외래진료,02-437-5011,2020.03.02.
52,서울,중랑구,녹색병원,서울특별시 중랑구 사가정로 49길 53,외래진료,02-490-2000,2020.03.02.
53,부산,강서구,갑을녹산병원,부산광역시 강서구 녹산산단 321로 24-8,외래진료,051-974-8300,2020.03.13.
54,부산,금정구,새우리남산병원,부산광역시 금정구 중앙대로 2025,외래진료,051-516-9999,2020.03.11.
55,부산,금정구,세웅병원,부산광역시 금정구 서동로 162,외래진료 및 입원,051-500-9700,2020.02.28.
56,부산,기장군,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길40,외래진료,051-720-5114,2020.03.03.
57,부산,기장군,기장병원,부산광역시 기장군 기장읍 대청로72번길 6,외래진료,051-723-0171,2020.03.03.
58,부산,남구,부산성모병원,부산광역시 남구 용호로 232번길 25-14,외래진료,051-933-7114,2020.03.02.
59,부산,동구,일신기독병원,부산광역시 동구 정공단로 27,외래진료,051-630-0300,2020.03.03.
60,부산,동구,김원묵기념봉생병원,부산광역시 동구 중앙대로 401,외래진료,051-664-4000,2020.03.03.
61,부산,동구,좋은문화병원,부산광역시 동구 범일로119,외래진료,051-644-2002,2020.02.25.
62,부산,동래구,대동병원,부산광역시 동래구 충렬대로 187,외래진료 및 입원,051-554-1233,2020.02.25.
63,부산,동래구,광혜병원,부산광역시 동래구 충렬대로 96,외래진료,051-503-2111,2020.02.28.
64,부산,동래구,동래봉생병원,부산광역시 동래구 안연로 109번길 27,외래진료,051-520-5500,2020.03.04.
65,부산,동래구,부산우리들병원,부산광역시 동래구 중앙대로 1523,외래진료,051-559-2000,2020.03.09.
66,부산,북구,부민병원,부산광역시 북구 만덕대로59,외래진료,051-330-3000,2020.02.25.
67,부산,북구,구포성심병원,부산광역시 북구 낙동대로1786,외래진료,051-333-2001,2020.03.02.
68,부산,북구,화명일신기독병원,부산광역시 북구 금곡대로 264,외래진료,051-363-0387,2020.02.25.
69,부산,사상구,좋은삼선병원,부산광역시 사상구 가야대로326,외래진료,051-322-0900,2020.02.25.
70,부산,사상구,서부산센텀병원,부산광역시 사상구 새벽로 226,외래진료,1644-5530 ,2020.03.11.
71,부산,사하구,우리원병원,부산광역시 사하구 다대로 565 ,외래진료,051-260-1000,2020.03.16.
